collectionName,country,queryCount,averageLatency
listingCollection,Denmark,100,214.77
nonShardedCollection,Denmark,100,193.33
listingCollection,Portugal,100,219.63
nonShardedCollection,Portugal,100,186.31
listingCollection,Slovakia,100,211.52
nonShardedCollection,Slovakia,100,185.02
listingCollection,Greece,100,205.90
nonShardedCollection,Greece,100,183.07
listingCollection,Netherlands,100,214.73
nonShardedCollection,Netherlands,100,187.56
listingCollection,Malta,100,206.24
nonShardedCollection,Malta,100,182.88
listingCollection,Finland,100,205.30
nonShardedCollection,Finland,100,181.81
listingCollection,France,100,212.88
nonShardedCollection,France,100,186.59
listingCollection,Sweden,100,206.04
nonShardedCollection,Sweden,100,182.37
listingCollection,Bulgaria,100,208.80
nonShardedCollection,Bulgaria,100,184.06
