collectionName,country,queryCount,averageLatency
listingCollection,Austria,100,2.93
nonShardedCollection,Austria,100,199.96
listingCollection,Germany,100,2.77
nonShardedCollection,Germany,100,198.37
listingCollection,Sweden,100,2.41
nonShardedCollection,Sweden,100,184.23
listingCollection,Slovakia,100,2.57
nonShardedCollection,Slovakia,100,194.19
listingCollection,Hungary,100,2.75
nonShardedCollection,Hungary,100,187.93
listingCollection,Greece,100,2.82
nonShardedCollection,Greece,100,189.52
listingCollection,Portugal,100,2.49
nonShardedCollection,Portugal,100,194.36
listingCollection,Slovenia,100,2.62
nonShardedCollection,Slovenia,100,192.60
listingCollection,Belgium,100,2.64
nonShardedCollection,Belgium,100,186.81
listingCollection,Poland,100,2.49
nonShardedCollection,Poland,100,187.95
