collectionName,country,queryCount,averageLatency
listingCollection,Cyprus,100,0.88
nonShardedCollection,Cyprus,100,0.54
listingCollection,Finland,100,0.54
nonShardedCollection,Finland,100,0.50
listingCollection,Croatia,100,0.51
nonShardedCollection,Croatia,100,0.47
listingCollection,Hungary,100,0.50
nonShardedCollection,Hungary,100,0.49
listingCollection,Latvia,100,0.49
nonShardedCollection,Latvia,100,0.44
listingCollection,Denmark,100,0.48
nonShardedCollection,Denmark,100,0.44
listingCollection,Netherlands,100,0.48
nonShardedCollection,Netherlands,100,0.44
listingCollection,Belgium,100,0.48
nonShardedCollection,Belgium,100,0.44
listingCollection,Greece,100,0.49
nonShardedCollection,Greece,100,0.43
listingCollection,Slovakia,100,0.47
nonShardedCollection,Slovakia,100,0.44
listingCollection,Estonia,100,2.38
nonShardedCollection,Estonia,100,1.80
listingCollection,Bulgaria,100,2.12
nonShardedCollection,Bulgaria,100,1.84
listingCollection,Czech Republic,100,2.12
nonShardedCollection,Czech Republic,100,1.82
listingCollection,Sweden,100,2.09
nonShardedCollection,Sweden,100,1.81
listingCollection,Austria,100,2.09
nonShardedCollection,Austria,100,1.80
listingCollection,France,100,2.09
nonShardedCollection,France,100,1.81
listingCollection,Denmark,100,2.10
nonShardedCollection,Denmark,100,1.80
listingCollection,Spain,100,2.09
nonShardedCollection,Spain,100,1.89
listingCollection,Latvia,100,2.12
nonShardedCollection,Latvia,100,1.87
listingCollection,Slovakia,100,2.16
nonShardedCollection,Slovakia,100,1.89
listingCollection,Netherlands,100,6.36
nonShardedCollection,Netherlands,100,4.93
listingCollection,Hungary,100,5.81
nonShardedCollection,Hungary,100,5.11
listingCollection,Slovenia,100,5.88
nonShardedCollection,Slovenia,100,5.21
listingCollection,Malta,100,5.78
nonShardedCollection,Malta,100,4.84
listingCollection,Sweden,100,5.82
nonShardedCollection,Sweden,100,4.86
listingCollection,Greece,100,5.88
nonShardedCollection,Greece,100,4.97
listingCollection,Estonia,100,6.09
nonShardedCollection,Estonia,100,4.94
listingCollection,Austria,100,5.78
nonShardedCollection,Austria,100,4.88
listingCollection,Croatia,100,5.76
nonShardedCollection,Croatia,100,4.83
listingCollection,Belgium,100,5.86
nonShardedCollection,Belgium,100,4.97
listingCollection,Slovenia,100,21.44
nonShardedCollection,Slovenia,100,17.93
listingCollection,Germany,100,21.83
nonShardedCollection,Germany,100,17.55
listingCollection,Malta,100,21.58
nonShardedCollection,Malta,100,17.14
listingCollection,Latvia,100,21.16
nonShardedCollection,Latvia,100,17.41
listingCollection,Italy,100,21.14
nonShardedCollection,Italy,100,18.25
listingCollection,Hungary,100,24.24
nonShardedCollection,Hungary,100,19.50
listingCollection,Estonia,100,24.86
nonShardedCollection,Estonia,100,21.55
listingCollection,Bulgaria,100,25.06
nonShardedCollection,Bulgaria,100,18.42
listingCollection,Romania,100,21.65
nonShardedCollection,Romania,100,18.28
listingCollection,Belgium,100,23.12
nonShardedCollection,Belgium,100,19.48
listingCollection,Belgium,100,53.71
nonShardedCollection,Belgium,100,46.28
listingCollection,Latvia,100,51.93
nonShardedCollection,Latvia,100,46.24
listingCollection,Estonia,100,61.35
nonShardedCollection,Estonia,100,48.38
listingCollection,Slovenia,100,55.58
nonShardedCollection,Slovenia,100,47.15
listingCollection,Ireland,100,55.36
nonShardedCollection,Ireland,100,46.15
listingCollection,Bulgaria,100,53.04
nonShardedCollection,Bulgaria,100,46.67
listingCollection,Slovakia,100,53.27
nonShardedCollection,Slovakia,100,48.93
listingCollection,Germany,100,54.48
nonShardedCollection,Germany,100,45.93
listingCollection,Cyprus,100,52.59
nonShardedCollection,Cyprus,100,46.48
listingCollection,Hungary,100,53.83
nonShardedCollection,Hungary,100,45.03
listingCollection,Poland,100,107.74
nonShardedCollection,Poland,100,89.33
listingCollection,Estonia,100,104.32
nonShardedCollection,Estonia,100,92.40
listingCollection,Belgium,100,106.16
nonShardedCollection,Belgium,100,90.10
listingCollection,Sweden,100,104.01
nonShardedCollection,Sweden,100,91.06
listingCollection,Ireland,100,109.10
nonShardedCollection,Ireland,100,90.26
listingCollection,Greece,100,103.45
nonShardedCollection,Greece,100,89.75
listingCollection,Spain,100,103.89
nonShardedCollection,Spain,100,88.90
listingCollection,Czech Republic,100,106.57
nonShardedCollection,Czech Republic,100,89.90
listingCollection,Lithuania,100,105.50
nonShardedCollection,Lithuania,100,91.53
listingCollection,Slovakia,100,121.96
nonShardedCollection,Slovakia,100,93.98
listingCollection,Denmark,100,214.77
nonShardedCollection,Denmark,100,193.33
listingCollection,Portugal,100,219.63
nonShardedCollection,Portugal,100,186.31
listingCollection,Slovakia,100,211.52
nonShardedCollection,Slovakia,100,185.02
listingCollection,Greece,100,205.90
nonShardedCollection,Greece,100,183.07
listingCollection,Netherlands,100,214.73
nonShardedCollection,Netherlands,100,187.56
listingCollection,Malta,100,206.24
nonShardedCollection,Malta,100,182.88
listingCollection,Finland,100,205.30
nonShardedCollection,Finland,100,181.81
listingCollection,France,100,212.88
nonShardedCollection,France,100,186.59
listingCollection,Sweden,100,206.04
nonShardedCollection,Sweden,100,182.37
listingCollection,Bulgaria,100,208.80
nonShardedCollection,Bulgaria,100,184.06
