collectionName,country,queryCount,averageLatency
listingCollection,Estonia,100,0.49
nonShardedCollection,Estonia,100,0.54
listingCollection,France,100,0.36
nonShardedCollection,France,100,0.45
listingCollection,Luxembourg,100,0.26
nonShardedCollection,Luxembourg,100,0.43
listingCollection,Romania,100,0.33
nonShardedCollection,Romania,100,0.42
listingCollection,Germany,100,0.23
nonShardedCollection,Germany,100,0.39
listingCollection,Spain,100,0.22
nonShardedCollection,Spain,100,0.38
listingCollection,Bulgaria,100,0.22
nonShardedCollection,Bulgaria,100,0.45
listingCollection,Austria,100,0.21
nonShardedCollection,Austria,100,0.40
listingCollection,Czech Republic,100,0.24
nonShardedCollection,Czech Republic,100,0.42
listingCollection,Latvia,100,0.22
nonShardedCollection,Latvia,100,0.41
listingCollection,Portugal,100,0.44
nonShardedCollection,Portugal,100,1.87
listingCollection,Czech Republic,100,0.29
nonShardedCollection,Czech Republic,100,1.81
listingCollection,Italy,100,0.35
nonShardedCollection,Italy,100,1.77
listingCollection,Sweden,100,0.28
nonShardedCollection,Sweden,100,1.77
listingCollection,Slovakia,100,0.27
nonShardedCollection,Slovakia,100,1.77
listingCollection,Lithuania,100,0.28
nonShardedCollection,Lithuania,100,1.79
listingCollection,Malta,100,0.29
nonShardedCollection,Malta,100,1.76
listingCollection,Luxembourg,100,0.29
nonShardedCollection,Luxembourg,100,1.76
listingCollection,Bulgaria,100,0.28
nonShardedCollection,Bulgaria,100,1.79
listingCollection,Estonia,100,0.28
nonShardedCollection,Estonia,100,1.76
listingCollection,Cyprus,100,0.54
nonShardedCollection,Cyprus,100,5.43
listingCollection,Malta,100,0.34
nonShardedCollection,Malta,100,5.66
listingCollection,Sweden,100,0.31
nonShardedCollection,Sweden,100,4.81
listingCollection,Netherlands,100,0.32
nonShardedCollection,Netherlands,100,4.85
listingCollection,Denmark,100,0.42
nonShardedCollection,Denmark,100,4.89
listingCollection,Poland,100,0.32
nonShardedCollection,Poland,100,4.81
listingCollection,Belgium,100,0.33
nonShardedCollection,Belgium,100,4.84
listingCollection,Estonia,100,0.32
nonShardedCollection,Estonia,100,4.84
listingCollection,Latvia,100,0.32
nonShardedCollection,Latvia,100,4.82
listingCollection,Slovenia,100,0.32
nonShardedCollection,Slovenia,100,4.87
