collectionName,country,queryCount,averageLatency
listingCollection,Italy,100,0.87
nonShardedCollection,Italy,100,17.75
listingCollection,Latvia,100,0.56
nonShardedCollection,Latvia,100,18.43
listingCollection,Poland,100,0.61
nonShardedCollection,Poland,100,16.40
listingCollection,Denmark,100,0.48
nonShardedCollection,Denmark,100,16.95
listingCollection,Cyprus,100,0.49
nonShardedCollection,Cyprus,100,16.56
listingCollection,Germany,100,0.48
nonShardedCollection,Germany,100,16.71
listingCollection,Croatia,100,0.46
nonShardedCollection,Croatia,100,16.92
listingCollection,Bulgaria,100,0.52
nonShardedCollection,Bulgaria,100,17.46
listingCollection,Lithuania,100,0.48
nonShardedCollection,Lithuania,100,16.67
listingCollection,Belgium,100,0.48
nonShardedCollection,Belgium,100,16.40
